#name,ra,dec
Arcturus,14.26102,19.18241
Vega,18.61565,38.78369
Betelgeuse,5.91953,7.40706
Capella,5.27816,45.99799
Rigel,5.24230,8.20164
Procyon,7.65503,5.22499
Enif,21.73643,9.87501
Aldebaran,4.59868,16.50930
Altair,19.84639,8.86832
Pollux,7.75526,28.02620
Deneb,20.69053,45.28034
Regulus,10.13953,11.96721
Castor,7.57663,31.88828
Bellatrix,5.41885,6.34970
y Cassiopeiae,0.05596,55.68111
b Tauri,4.48060,13.04760
Alioth,12.90049,55.95982
Mirfak,3.40538,49.86118
Dubhe,11.06213,61.75103
Alkaid,13.79234,49.31327
Menkalinan,5.99215,44.94743
Alhena,6.62853,16.39928
