Object Name,Hour Angle,Declination,Rise Time,Set Time
Vega,20.94,38.8,19:30,0:45
Betelgeuse,9.63,7.4,2:53,7:02
Capella,10.27,46.0,0:10,7:02
Rigel,10.31,8.2,2:10,7:02
Procyon,7.9,5.2,4:46,7:02
Enif,17.82,9.9,19:30,2:20
Aldebaran,10.95,16.5,1:02,7:02
Altair,19.71,8.9,19:30,0:23
Pollux,7.8,28.0,3:34,7:02
Deneb,18.86,45.3,19:30,3:10
Regulus,5.41,12.0,6:49,7:02
Castor,7.98,31.9,3:12,7:02
Bellatrix,10.13,6.3,2:28,7:02
y Cassiopeiae,15.5,55.7,19:30,7:02
b Tauri,11.07,13.0,1:06,7:02
Alioth,2.65,56.0,19:30,20:03
Mirfak,12.15,49.9,22:05,7:02
Dubhe,4.49,61.8,4:52,7:02
Alkaid,1.76,49.3,19:30,20:31
Menkalinan,9.56,44.9,0:57,7:02
Alhena,8.92,16.4,3:04,7:02
